Product_Code,Sold_Quantity,Division,Date,Pharmacy_ID
P009,97,Div3,2023-01-07,Z01
P003,169,Div3,2023-01-07,Z01
P007,176,Div3,2023-01-07,Z05
P005,162,Div1,2023-01-08,Z03
P002,152,Div1,2023-01-08,Z03
P005,183,Div1,2023-01-08,Z01
P010,93,Div3,2023-01-08,Z01
P005,187,Div3,2023-01-08,Z04
P007,96,Div4,2023-01-08,Z02
P009,120,Div3,2023-01-08,Z04
P003,163,Div3,2023-01-08,Z01
P008,173,Div2,2023-01-08,Z02
P004,140,Div4,2023-01-08,Z02
P002,161,Div2,2023-01-08,Z04
P007,188,Div4,2023-01-08,Z01
P007,85,Div3,2023-01-08,Z04
P008,120,Div1,2023-01-09,Z04
P006,182,Div1,2023-01-09,Z04
P003,177,Div4,2023-01-09,Z01
P006,146,Div2,2023-01-09,Z02
P004,111,Div4,2023-01-09,Z02
P007,157,Div2,2023-01-09,Z03
P003,146,Div4,2023-01-09,Z03
P001,193,Div3,2023-01-09,Z01
P001,137,Div2,2023-01-09,Z02
P005,146,Div1,2023-01-09,Z05
P005,181,Div1,2023-01-09,Z01
P002,95,Div2,2023-01-09,Z01
P010,85,Div2,2023-01-09,Z01
P003,167,Div2,2023-01-09,Z05
P002,144,Div4,2023-01-09,Z04
P004,125,Div3,2023-01-09,Z01
P007,185,Div1,2023-01-10,Z01
P009,137,Div3,2023-01-10,Z03
P002,149,Div4,2023-01-10,Z04
P002,167,Div2,2023-01-10,Z02
P006,152,Div2,2023-01-10,Z05
P007,101,Div4,2023-01-10,Z02
P010,103,Div3,2023-01-10,Z01
P009,184,Div2,2023-01-10,Z05
P007,79,Div1,2023-01-10,Z04
P003,147,Div4,2023-01-10,Z02
P005,174,Div2,2023-01-10,Z04
P003,181,Div2,2023-01-10,Z04
P010,107,Div2,2023-01-11,Z03
P009,192,Div2,2023-01-11,Z05
P003,187,Div1,2023-01-11,Z04
P002,148,Div2,2023-01-11,Z04
P001,116,Div4,2023-01-11,Z05
P009,184,Div1,2023-01-11,Z02
P002,137,Div3,2023-01-11,Z05
P004,99,Div4,2023-01-11,Z03
P005,180,Div4,2023-01-11,Z03
P009,126,Div4,2023-01-11,Z04
P004,166,Div3,2023-01-11,Z04
P006,112,Div4,2023-01-11,Z02
P007,92,Div3,2023-01-11,Z02
P009,136,Div1,2023-01-12,Z03
P004,94,Div3,2023-01-12,Z03
P008,93,Div4,2023-01-12,Z05
P007,187,Div1,2023-01-12,Z05
P002,88,Div1,2023-01-12,Z01
P007,96,Div1,2023-01-12,Z04
P010,138,Div1,2023-01-12,Z04
P003,138,Div1,2023-01-12,Z02
P005,104,Div1,2023-01-12,Z02
P008,126,Div2,2023-01-12,Z04
P009,136,Div2,2023-01-12,Z04
P006,194,Div4,2023-01-12,Z04
P003,160,Div2,2023-01-12,Z03
P009,186,Div3,2023-01-12,Z02
P006,121,Div2,2023-01-13,Z02
P001,119,Div3,2023-01-13,Z03
P005,125,Div4,2023-01-13,Z02
P007,198,Div4,2023-01-13,Z01
P001,107,Div1,2023-01-13,Z04
P001,167,Div3,2023-01-13,Z02
P002,152,Div2,2023-01-13,Z04
P002,163,Div3,2023-01-13,Z02
P005,164,Div2,2023-01-13,Z04
P009,122,Div3,2023-01-13,Z01
P010,162,Div3,2023-01-13,Z02
P007,194,Div4,2023-01-13,Z05
P009,190,Div4,2023-01-13,Z02
P006,184,Div4,2023-01-14,Z01
P003,173,Div3,2023-01-14,Z03
P002,90,Div3,2023-01-14,Z01
P007,209,Div3,2023-01-14,Z01
P006,172,Div2,2023-01-14,Z03
P002,158,Div2,2023-01-14,Z02
P005,181,Div2,2023-01-14,Z04
P009,199,Div1,2023-01-14,Z02
P007,150,Div2,2023-01-14,Z03
P003,140,Div1,2023-01-14,Z02
P002,138,Div1,2023-01-14,Z05
P004,125,Div1,2023-01-14,Z02
P008,132,Div1,2023-01-14,Z04
P004,136,Div3,2023-01-15,Z01
P005,146,Div1,2023-01-15,Z05
P006,153,Div1,2023-01-15,Z05
P006,156,Div3,2023-01-15,Z03
P010,88,Div3,2023-01-15,Z01
P001,189,Div4,2023-01-15,Z01
P004,174,Div1,2023-01-15,Z04
P001,137,Div3,2023-01-15,Z02
P001,131,Div2,2023-01-15,Z03
P003,157,Div1,2023-01-15,Z02
P006,121,Div4,2023-01-15,Z02
P007,93,Div3,2023-01-15,Z04
P002,140,Div3,2023-01-15,Z05
P009,98,Div1,2023-01-16,Z01
P004,97,Div1,2023-01-16,Z03
P005,177,Div1,2023-01-16,Z03
P004,110,Div3,2023-01-16,Z05
P008,172,Div1,2023-01-16,Z02
P001,123,Div3,2023-01-16,Z05
P007,212,Div2,2023-01-16,Z05
P006,158,Div2,2023-01-16,Z03
P005,197,Div3,2023-01-16,Z01
P002,145,Div1,2023-01-16,Z04
P002,151,Div3,2023-01-17,Z03
P009,102,Div1,2023-01-17,Z01
P002,178,Div1,2023-01-17,Z02
P003,153,Div2,2023-01-17,Z02
P008,111,Div3,2023-01-17,Z05
P008,197,Div1,2023-01-17,Z01
P004,110,Div1,2023-01-17,Z05
P001,159,Div1,2023-01-17,Z02
P007,170,Div1,2023-01-18,Z03
P002,145,Div2,2023-01-18,Z05
P005,137,Div2,2023-01-18,Z02
P008,90,Div1,2023-01-18,Z05
P009,132,Div2,2023-01-18,Z04
P009,121,Div1,2023-01-18,Z01
P003,187,Div3,2023-01-18,Z03
P004,124,Div3,2023-01-18,Z02
P001,132,Div1,2023-01-18,Z03
P002,163,Div1,2023-01-18,Z04
P009,195,Div4,2023-01-18,Z02
P006,158,Div4,2023-01-18,Z03
P008,136,Div4,2023-01-18,Z03
P003,143,Div1,2023-01-18,Z02
P003,192,Div1,2023-01-18,Z04
P005,186,Div4,2023-01-19,Z03
P001,116,Div3,2023-01-19,Z04
P004,130,Div3,2023-01-19,Z02
P010,172,Div4,2023-01-19,Z02
P005,126,Div4,2023-01-19,Z02
P009,146,Div4,2023-01-19,Z04
P010,80,Div3,2023-01-19,Z01
P006,176,Div3,2023-01-19,Z01
P006,173,Div3,2023-01-19,Z05
P003,167,Div4,2023-01-19,Z05
P003,202,Div4,2023-01-19,Z01
P007,115,Div1,2023-01-20,Z02
P001,129,Div2,2023-01-20,Z03
P003,176,Div4,2023-01-20,Z01
P008,216,Div4,2023-01-20,Z01
P004,111,Div1,2023-01-20,Z05
P007,94,Div2,2023-01-20,Z04
P010,139,Div1,2023-01-20,Z04
P003,198,Div3,2023-01-20,Z04
P008,148,Div3,2023-01-20,Z03
P009,193,Div2,2023-01-20,Z02
P002,181,Div3,2023-01-20,Z03
P001,127,Div4,2023-01-20,Z04
P001,107,Div2,2023-01-20,Z05
P001,198,Div2,2023-01-20,Z01
P007,173,Div4,2023-01-20,Z03
P006,160,Div1,2023-01-20,Z05
P008,163,Div1,2023-01-20,Z02
P010,101,Div3,2023-01-20,Z03
P003,182,Div4,2023-01-20,Z05
P006,127,Div4,2023-01-20,Z02
P004,89,Div3,2023-01-20,Z03
P003,174,Div1,2023-01-20,Z02
P004,102,Div1,2023-01-21,Z03
P010,164,Div4,2023-01-21,Z04
P004,144,Div1,2023-01-21,Z02
P010,133,Div1,2023-01-21,Z05
P007,97,Div2,2023-01-21,Z02
P001,152,Div1,2023-01-21,Z02
P001,211,Div1,2023-01-21,Z01
P004,180,Div4,2023-01-21,Z04
P008,147,Div4,2023-01-21,Z03
P006,180,Div2,2023-01-21,Z04
P006,165,Div4,2023-01-21,Z03
P007,206,Div2,2023-01-21,Z05
P003,181,Div3,2023-01-21,Z03
P004,117,Div2,2023-01-21,Z05
P003,144,Div3,2023-01-21,Z02
P001,127,Div1,2023-01-21,Z03
P005,190,Div2,2023-01-22,Z03
P001,118,Div2,2023-01-22,Z03
P004,160,Div3,2023-01-22,Z01
P004,131,Div2,2023-01-22,Z02
P007,95,Div3,2023-01-22,Z04
P003,177,Div2,2023-01-22,Z03
P005,179,Div2,2023-01-22,Z04
P006,102,Div4,2023-01-22,Z02
P008,108,Div4,2023-01-22,Z05
P006,182,Div3,2023-01-22,Z03
P006,188,Div3,2023-01-23,Z01
P003,194,Div2,2023-01-23,Z04
P001,132,Div4,2023-01-23,Z02
P004,130,Div3,2023-01-23,Z02
P003,158,Div2,2023-01-23,Z02
P007,170,Div3,2023-01-23,Z03
P008,203,Div3,2023-01-23,Z01
P009,146,Div3,2023-01-24,Z04
P009,200,Div1,2023-01-24,Z02
P008,206,Div1,2023-01-24,Z01
P003,142,Div3,2023-01-24,Z05
P010,161,Div2,2023-01-24,Z02
P007,170,Div3,2023-01-24,Z03
P002,164,Div4,2023-01-24,Z03
P004,158,Div3,2023-01-24,Z02
P002,172,Div3,2023-01-24,Z02
P008,92,Div2,2023-01-24,Z05
P010,98,Div4,2023-01-25,Z01
P008,93,Div2,2023-01-25,Z05
P004,111,Div1,2023-01-25,Z05
P010,158,Div2,2023-01-25,Z04
P010,146,Div1,2023-01-25,Z05
P002,151,Div4,2023-01-25,Z03
P002,171,Div4,2023-01-25,Z02
P007,203,Div1,2023-01-25,Z01
P001,115,Div2,2023-01-25,Z04
P001,124,Div3,2023-01-25,Z05
P004,137,Div4,2023-01-25,Z02
P010,121,Div3,2023-01-25,Z03
P003,129,Div1,2023-01-26,Z02
P008,155,Div3,2023-01-26,Z02
P004,176,Div1,2023-01-26,Z04
P007,179,Div2,2023-01-26,Z05
P010,93,Div4,2023-01-26,Z01
P010,189,Div3,2023-01-26,Z02
P006,183,Div1,2023-01-26,Z05
P006,128,Div1,2023-01-26,Z02
P006,185,Div2,2023-01-26,Z01
P004,143,Div3,2023-01-26,Z02
P003,201,Div3,2023-01-26,Z04
P002,144,Div2,2023-01-26,Z05
P003,161,Div2,2023-01-26,Z05
P004,162,Div3,2023-01-26,Z01
P008,201,Div2,2023-01-26,Z01
P002,169,Div2,2023-01-27,Z02
P005,178,Div1,2023-01-27,Z03
P006,192,Div3,2023-01-27,Z04
P005,199,Div3,2023-01-27,Z04
P005,133,Div2,2023-01-27,Z02
P010,88,Div1,2023-01-27,Z01
P002,99,Div3,2023-01-27,Z01
P008,89,Div3,2023-01-27,Z05
P007,107,Div4,2023-01-27,Z04
P009,159,Div1,2023-01-27,Z04
P001,125,Div1,2023-01-27,Z04
P010,158,Div3,2023-01-27,Z05
P003,204,Div2,2023-01-27,Z04
P008,124,Div4,2023-01-28,Z04
P008,213,Div1,2023-01-28,Z01
P001,126,Div3,2023-01-28,Z04
P004,123,Div2,2023-01-28,Z05
P005,164,Div4,2023-01-28,Z03
P001,194,Div1,2023-01-28,Z01
P004,139,Div4,2023-01-28,Z01
P010,106,Div1,2023-01-28,Z03
P010,89,Div4,2023-01-28,Z01
P003,167,Div1,2023-01-28,Z03
P007,220,Div4,2023-01-28,Z01
P008,181,Div3,2023-01-28,Z02
P006,184,Div1,2023-01-28,Z01
P007,99,Div3,2023-01-29,Z04
P003,142,Div1,2023-01-29,Z02
P001,117,Div1,2023-01-29,Z04
P002,170,Div4,2023-01-29,Z04
P002,163,Div2,2023-01-29,Z03
P002,122,Div3,2023-01-29,Z01
P010,134,Div3,2023-01-29,Z05
P010,129,Div2,2023-01-29,Z03
P008,134,Div3,2023-01-29,Z03
P003,183,Div3,2023-01-29,Z01
P001,152,Div2,2023-01-29,Z03
P009,208,Div3,2023-01-29,Z02
P001,129,Div4,2023-01-29,Z05
P004,165,Div3,2023-01-29,Z01
P007,204,Div4,2023-01-29,Z01
P008,113,Div4,2023-01-30,Z05
P008,177,Div4,2023-01-30,Z02
P001,134,Div4,2023-01-30,Z05
P002,178,Div4,2023-01-30,Z03
P007,176,Div2,2023-01-30,Z05
P004,157,Div4,2023-01-30,Z01
P002,151,Div3,2023-01-30,Z05
P001,143,Div3,2023-01-30,Z02
P007,178,Div4,2023-01-31,Z03
P001,203,Div4,2023-01-31,Z01
P008,143,Div3,2023-01-31,Z04
P010,132,Div3,2023-01-31,Z03
P010,135,Div4,2023-01-31,Z05
P006,197,Div2,2023-01-31,Z04
P007,105,Div1,2023-01-31,Z02
P009,115,Div1,2023-01-31,Z01
P003,160,Div2,2023-01-31,Z03
P004,167,Div2,2023-01-31,Z04
P008,210,Div3,2023-01-31,Z01
P003,155,Div1,2023-01-31,Z05
P004,107,Div4,2023-01-31,Z03
P005,208,Div3,2023-01-31,Z04
P009,143,Div4,2023-01-31,Z04
P002,131,Div3,2023-01-31,Z05
P002,164,Div3,2023-01-31,Z04
P002,174,Div1,2023-01-31,Z03
P006,131,Div2,2023-01-31,Z02
P003,177,Div3,2023-01-31,Z02
P009,199,Div3,2023-01-31,Z05
P008,158,Div4,2023-02-01,Z03
P008,120,Div3,2023-02-01,Z05
P007,127,Div4,2023-02-01,Z02
P009,125,Div2,2023-02-01,Z01
P002,166,Div2,2023-02-01,Z05
P004,164,Div4,2023-02-01,Z04
P005,158,Div4,2023-02-01,Z02
P001,196,Div2,2023-02-01,Z01
P007,192,Div1,2023-02-01,Z01
P006,214,Div2,2023-02-01,Z04
P004,159,Div4,2023-02-01,Z02
P003,176,Div2,2023-02-01,Z02
P003,172,Div2,2023-02-01,Z03
P008,200,Div3,2023-02-01,Z01
P001,158,Div4,2023-02-01,Z02
P001,121,Div1,2023-02-01,Z05
P009,150,Div3,2023-02-01,Z03
P004,164,Div1,2023-02-02,Z04
P007,126,Div3,2023-02-02,Z02
P001,134,Div2,2023-02-02,Z04
P003,184,Div1,2023-02-02,Z05
P009,148,Div1,2023-02-02,Z04
P006,179,Div1,2023-02-02,Z03
P008,161,Div1,2023-02-02,Z02
P006,194,Div4,2023-02-02,Z01
P003,189,Div1,2023-02-02,Z01
P005,199,Div1,2023-02-02,Z03
P010,136,Div2,2023-02-02,Z03
P004,106,Div1,2023-02-02,Z03
P006,137,Div2,2023-02-02,Z02
P010,111,Div1,2023-02-02,Z01
P006,165,Div3,2023-02-03,Z05
P007,105,Div2,2023-02-03,Z04
P001,170,Div1,2023-02-03,Z02
P001,130,Div4,2023-02-03,Z05
P010,174,Div1,2023-02-03,Z02
P009,221,Div1,2023-02-03,Z02
P001,202,Div3,2023-02-03,Z01
P003,178,Div3,2023-02-03,Z03
P009,110,Div4,2023-02-03,Z01
P003,161,Div2,2023-02-03,Z02
P005,226,Div1,2023-02-03,Z01
P006,176,Div4,2023-02-04,Z01
P001,156,Div3,2023-02-04,Z02
P010,148,Div3,2023-02-04,Z04
P003,197,Div3,2023-02-04,Z01
P002,182,Div4,2023-02-04,Z03
P003,190,Div2,2023-02-04,Z04
P001,131,Div4,2023-02-04,Z03
P010,118,Div2,2023-02-04,Z03
P005,221,Div1,2023-02-04,Z03
P006,206,Div1,2023-02-04,Z04
P001,196,Div4,2023-02-04,Z01
P002,180,Div3,2023-02-04,Z04
P004,125,Div4,2023-02-04,Z05
P007,232,Div1,2023-02-04,Z01
P003,165,Div1,2023-02-04,Z02
P010,161,Div4,2023-02-04,Z05
P005,215,Div2,2023-02-05,Z01
P005,144,Div4,2023-02-05,Z02
P006,172,Div2,2023-02-05,Z05
P009,120,Div1,2023-02-05,Z01
P006,140,Div3,2023-02-05,Z02
P001,207,Div1,2023-02-05,Z01
P009,139,Div2,2023-02-05,Z04
P010,134,Div3,2023-02-05,Z03
P009,223,Div3,2023-02-05,Z02
P010,176,Div2,2023-02-05,Z02
P002,160,Div3,2023-02-05,Z02
P009,146,Div1,2023-02-06,Z04
P005,182,Div4,2023-02-06,Z03
P009,112,Div2,2023-02-06,Z01
P006,201,Div2,2023-02-06,Z01
P009,150,Div4,2023-02-06,Z03
P008,174,Div2,2023-02-06,Z02
P010,151,Div2,2023-02-06,Z05
P001,168,Div2,2023-02-06,Z02
P007,192,Div3,2023-02-06,Z03
P003,189,Div3,2023-02-06,Z01
P003,189,Div2,2023-02-06,Z05
P008,205,Div3,2023-02-06,Z01
P010,90,Div2,2023-02-06,Z01
P006,189,Div2,2023-02-06,Z03
P001,134,Div2,2023-02-06,Z05
P009,198,Div3,2023-02-07,Z02
P006,210,Div4,2023-02-07,Z04
P004,157,Div1,2023-02-07,Z01
P005,138,Div4,2023-02-07,Z02
P008,112,Div3,2023-02-07,Z05
P010,103,Div4,2023-02-07,Z01
P003,162,Div1,2023-02-07,Z03
P002,104,Div4,2023-02-07,Z01
P010,168,Div2,2023-02-07,Z04
P002,178,Div2,2023-02-07,Z02
P005,226,Div3,2023-02-07,Z01
P005,173,Div2,2023-02-07,Z05
P009,209,Div3,2023-02-07,Z05
P006,140,Div3,2023-02-07,Z02
P004,142,Div1,2023-02-08,Z01
P003,186,Div2,2023-02-08,Z05
P009,144,Div3,2023-02-08,Z04
P008,154,Div3,2023-02-08,Z03
P004,132,Div4,2023-02-08,Z03
P009,217,Div2,2023-02-08,Z02
P001,129,Div4,2023-02-08,Z05
P006,176,Div1,2023-02-08,Z03
P002,163,Div3,2023-02-08,Z04
P004,189,Div2,2023-02-08,Z04
P002,155,Div1,2023-02-08,Z05
P003,188,Div4,2023-02-08,Z04
P008,185,Div2,2023-02-09,Z02
P005,116,Div2,2023-02-09,Z02
P002,160,Div2,2023-02-09,Z04
P007,116,Div1,2023-02-09,Z02
P006,189,Div1,2023-02-09,Z03
P010,117,Div4,2023-02-09,Z03
P008,142,Div2,2023-02-09,Z04
P008,164,Div3,2023-02-09,Z03
P007,117,Div3,2023-02-09,Z04
P003,197,Div1,2023-02-09,Z05
P003,198,Div4,2023-02-09,Z01
P010,150,Div2,2023-02-09,Z05
P002,175,Div4,2023-02-10,Z05
P008,108,Div1,2023-02-10,Z05
P002,167,Div3,2023-02-10,Z03
P004,113,Div4,2023-02-10,Z03
P006,132,Div2,2023-02-10,Z02
P010,94,Div2,2023-02-10,Z01
P004,125,Div3,2023-02-10,Z05
P008,204,Div2,2023-02-10,Z01
P007,122,Div1,2023-02-10,Z04
P010,165,Div2,2023-02-10,Z04
P003,199,Div2,2023-02-10,Z04
P006,138,Div4,2023-02-11,Z02
P008,140,Div3,2023-02-11,Z04
P003,183,Div3,2023-02-11,Z05
P008,126,Div1,2023-02-11,Z05
P010,97,Div1,2023-02-11,Z01
P002,132,Div1,2023-02-11,Z01
P010,159,Div3,2023-02-11,Z05
P006,213,Div3,2023-02-11,Z04
P009,162,Div4,2023-02-11,Z03
P009,197,Div1,2023-02-11,Z05
P005,209,Div2,2023-02-11,Z01
P002,169,Div1,2023-02-11,Z02
P001,212,Div2,2023-02-11,Z01
P009,133,Div4,2023-02-11,Z01
P004,166,Div4,2023-02-11,Z01
P006,223,Div3,2023-02-12,Z04
P010,167,Div1,2023-02-12,Z04
P004,181,Div4,2023-02-12,Z04
P001,151,Div1,2023-02-12,Z02
P003,213,Div4,2023-02-12,Z04
P002,195,Div3,2023-02-12,Z02
P001,205,Div3,2023-02-12,Z01
P010,143,Div4,2023-02-12,Z05
P003,201,Div2,2023-02-12,Z01
P004,128,Div1,2023-02-12,Z05
P001,143,Div1,2023-02-12,Z03
P009,155,Div2,2023-02-12,Z03
P009,163,Div3,2023-02-12,Z04
P007,231,Div2,2023-02-12,Z01
P003,162,Div1,2023-02-12,Z02
P008,186,Div3,2023-02-13,Z03
P009,117,Div1,2023-02-13,Z01
P009,169,Div4,2023-02-13,Z03
P009,159,Div3,2023-02-13,Z04
P003,205,Div4,2023-02-13,Z04
P003,168,Div3,2023-02-13,Z02
P008,125,Div3,2023-02-13,Z05
P010,165,Div3,2023-02-13,Z05
P004,163,Div2,2023-02-13,Z02
P005,202,Div3,2023-02-14,Z04
P001,148,Div3,2023-02-14,Z02
P009,168,Div2,2023-02-14,Z04
P008,103,Div1,2023-02-14,Z05
P007,143,Div3,2023-02-14,Z02
P003,209,Div2,2023-02-14,Z04
P006,201,Div4,2023-02-14,Z04
P006,174,Div2,2023-02-14,Z05
P010,180,Div2,2023-02-14,Z02
P007,181,Div1,2023-02-14,Z03
P001,140,Div1,2023-02-14,Z04
P002,122,Div4,2023-02-14,Z01
P010,176,Div3,2023-02-14,Z04
P007,219,Div4,2023-02-14,Z05
P006,152,Div4,2023-02-15,Z02
P009,221,Div2,2023-02-15,Z02
P007,176,Div2,2023-02-15,Z03
P002,130,Div2,2023-02-15,Z01
P008,183,Div3,2023-02-15,Z02
P001,190,Div3,2023-02-15,Z02
P010,125,Div2,2023-02-15,Z03
P003,195,Div3,2023-02-15,Z05
P007,128,Div4,2023-02-15,Z02
P006,171,Div3,2023-02-15,Z05
P010,126,Div3,2023-02-15,Z01
P010,190,Div3,2023-02-15,Z02
P009,217,Div3,2023-02-15,Z05
P007,209,Div3,2023-02-15,Z01
P004,147,Div4,2023-02-15,Z02
P007,116,Div2,2023-02-15,Z04
P002,196,Div2,2023-02-16,Z02
P010,168,Div1,2023-02-16,Z05
P008,153,Div2,2023-02-16,Z03
P008,135,Div1,2023-02-16,Z04
P010,110,Div1,2023-02-16,Z01
P008,192,Div3,2023-02-16,Z02
P007,176,Div4,2023-02-16,Z03
P007,118,Div4,2023-02-16,Z02
P001,219,Div3,2023-02-16,Z01
P003,155,Div1,2023-02-16,Z02
P001,190,Div2,2023-02-16,Z02
P002,164,Div4,2023-02-17,Z03
P007,189,Div3,2023-02-17,Z03
P004,98,Div3,2023-02-17,Z03
P008,221,Div4,2023-02-17,Z01
P008,102,Div2,2023-02-17,Z05
P004,163,Div3,2023-02-17,Z02
P009,127,Div2,2023-02-17,Z01
P008,181,Div3,2023-02-17,Z02
P001,233,Div3,2023-02-17,Z01
P006,198,Div1,2023-02-17,Z03
P009,166,Div3,2023-02-17,Z03
P003,169,Div1,2023-02-17,Z05
P006,144,Div3,2023-02-17,Z02
P010,167,Div4,2023-02-17,Z05
P010,185,Div4,2023-02-17,Z02
P010,115,Div4,2023-02-17,Z01
P010,163,Div4,2023-02-17,Z04
P008,161,Div1,2023-02-17,Z03
P008,161,Div1,2023-02-18,Z03
P002,188,Div4,2023-02-18,Z02
P006,162,Div4,2023-02-18,Z02
P004,158,Div1,2023-02-18,Z02
P008,212,Div3,2023-02-18,Z01
P001,138,Div3,2023-02-18,Z05
P006,209,Div3,2023-02-18,Z04
P005,215,Div3,2023-02-18,Z04
P002,162,Div2,2023-02-18,Z04
P003,194,Div3,2023-02-18,Z01
P004,135,Div3,2023-02-18,Z05
P001,106,Div3,2023-02-18,Z04
P009,227,Div3,2023-02-18,Z02
P009,116,Div1,2023-02-18,Z01
P005,218,Div1,2023-02-18,Z01
P003,204,Div4,2023-02-19,Z04
P010,147,Div4,2023-02-19,Z05
P006,139,Div3,2023-02-19,Z02
P002,146,Div4,2023-02-19,Z05
P008,109,Div4,2023-02-19,Z05
P007,234,Div3,2023-02-19,Z01
P004,194,Div1,2023-02-19,Z04
P009,212,Div1,2023-02-19,Z05
P004,167,Div3,2023-02-19,Z01
P005,192,Div2,2023-02-19,Z03
P006,183,Div4,2023-02-19,Z03
P001,141,Div3,2023-02-19,Z04
P005,165,Div3,2023-02-20,Z05
P010,106,Div2,2023-02-20,Z01
P009,114,Div1,2023-02-20,Z01
P002,180,Div2,2023-02-20,Z03
P002,156,Div4,2023-02-20,Z05
P010,104,Div4,2023-02-20,Z03
P010,181,Div1,2023-02-20,Z02
P001,203,Div2,2023-02-20,Z01
P001,153,Div1,2023-02-20,Z05
P007,123,Div4,2023-02-21,Z02
P007,230,Div4,2023-02-21,Z05
P009,212,Div4,2023-02-21,Z05
P009,168,Div3,2023-02-21,Z03
P007,171,Div3,2023-02-21,Z03
P004,204,Div2,2023-02-21,Z04
P005,212,Div1,2023-02-21,Z01
P009,150,Div4,2023-02-21,Z04
P008,179,Div1,2023-02-21,Z02
P004,166,Div1,2023-02-22,Z01
P007,192,Div1,2023-02-22,Z03
P005,160,Div2,2023-02-22,Z02
P005,175,Div4,2023-02-22,Z05
P007,219,Div2,2023-02-22,Z05
